condition_id,condition_name,category,description,prevalence,symptoms,risk_factors,treatment_options,resource_links
MH001,Major Depressive Disorder,Depression,"Persistent sadness, loss of interest, fatigue lasting 2+ weeks",7.1%,"Persistent sadness, loss of interest, sleep disturbance, appetite changes, fatigue, worthlessness, difficulty concentrating, suicidal thoughts","Family history, trauma, chronic illness, substance abuse, stress, hormonal changes, medication side effects","Psychotherapy (CBT, IPT), Antidepressants (SSRIs), Lifestyle changes, Meditation, Exercise",https://www.samhsa.gov/mental-health
MH002,Generalized Anxiety Disorder,Anxiety,"Excessive worry about daily life lasting 6+ months",3.1%,"Excessive worry, restlessness, fatigue, difficulty concentrating, irritability, muscle tension, sleep disturbance","Trauma, personality traits, medical conditions, caffeine, substance abuse, stress, genetic predisposition","Cognitive Behavioral Therapy, Medications (SSRIs, SNRIs), Relaxation techniques, Exercise, Meditation",https://www.nami.org/anxietydisorders
MH003,Panic Disorder,Anxiety,"Recurrent unexpected panic attacks with anticipatory anxiety",3.5%,"Sudden intense fear, palpitations, sweating, trembling, shortness of breath, chest pain, dizziness, fear of dying","Stressful life events, family history, caffeine sensitivity, medical conditions, substance use","Cognitive Behavioral Therapy, Exposure therapy, Medications, Breathing techniques, Lifestyle changes",https://www.psychiatry.org/
MH004,Post-Traumatic Stress Disorder,Trauma,"Persistent distress following exposure to traumatic event",3.5%,"Intrusive memories, nightmares, avoidance, negative thoughts, increased arousal, emotional numbness, hypervigilance","Exposure to trauma, lack of social support, previous mental health issues, substance abuse, genetic factors","Trauma-focused CBT, EMDR, Medications, Support groups, Mindfulness",https://www.va.gov/health/
MH005,Social Anxiety Disorder,Anxiety,"Intense fear of social situations and performance",7.4%,"Extreme fear of social judgment, avoidance of social situations, physical symptoms (blushing, sweating, trembling), intense distress in social settings","Temperament, trauma, family history, social stress, media influence","Cognitive Behavioral Therapy, Group therapy, Exposure therapy, Medications, Social skills training",https://adaa.org/
MH006,Bipolar Disorder,Mood,"Alternating periods of mania/hypomania and depression",2.8%,"Periods of extreme happiness/irritability (mania), increased energy, racing thoughts, impulsive behavior, followed by periods of severe depression","Family history, brain chemistry changes, stress, substance abuse, sleep disruption","Mood stabilizers (lithium), Antipsychotics, Psychotherapy, Lifestyle management, Sleep hygiene",https://www.dbsalliance.org/
MH007,Obsessive-Compulsive Disorder,Anxiety,"Recurrent obsessions and compulsions interfering with functioning",1.2%,"Intrusive unwanted thoughts, need for control/symmetry, contamination fears, compulsive behaviors, anxiety when unable to perform rituals","Stress, perfectionism, family history, brain chemistry, trauma","Cognitive Behavioral Therapy, Exposure and Response Prevention (ERP), Medications (SSRIs), Family therapy",https://iocdf.org/
MH008,Attention-Deficit/Hyperactivity Disorder,Neurodevelopmental,"Persistent pattern of inattention and/or hyperactivity",4.7%,"Difficulty sustaining attention, forgetfulness, easily distracted, impulsivity, restlessness, difficulty organizing, talking excessively, interrupting","Genetic factors, prenatal factors, neurochemistry imbalances, environmental stressors, lead exposure","Medications (stimulants, non-stimulants), Behavioral therapy, Cognitive Behavioral Therapy, Organizational strategies, Exercise",https://chadd.org/
MH009,Eating Disorders,Behavioral,"Severe disturbance in eating behaviors and related thoughts",2.7%,"Restrictive eating, binge eating, purging behaviors, excessive exercise, preoccupation with weight, distorted body image, social withdrawal","Perfectionism, pressure to be thin, trauma, family dysfunction, media influence, biological factors","Cognitive Behavioral Therapy, Family therapy, Nutritional counseling, Medications, Inpatient treatment if severe",https://www.nationaleatingdisorders.org/
MH010,Substance Use Disorder,Addiction,"Problematic pattern of substance use causing significant impairment",8.9%,"Loss of control, continued use despite consequences, neglect of responsibilities, social withdrawal, tolerance, withdrawal symptoms, risky behavior","Genetics, trauma, stress, peer pressure, mental health conditions, availability of substances","12-step programs, Cognitive Behavioral Therapy, Medication-assisted treatment, Peer support, Residential treatment",https://www.samhsa.gov/
