technique_id,technique_name,type,category,description,effectiveness,duration,difficulty,resources_needed
TH001,Cognitive Behavioral Therapy,Psychotherapy,Traditional,"Identifies and modifies negative thought patterns and behaviors. Focuses on the relationship between thoughts, feelings, and actions.","High (85-90% effective for depression/anxiety)",8-16 weeks,Intermediate,"Trained therapist, workbooks, self-monitoring tools"
TH002,Exposure and Response Prevention,Psychotherapy,OCD,"Gradual exposure to feared situations without performing compulsive behaviors. Reduces anxiety through habituation.",High (80+ for OCD),8-12 weeks,Advanced,"Trained therapist, anxiety hierarchy, courage"
TH003,Dialectical Behavior Therapy,Psychotherapy,Borderline Personality,"Skills-based therapy focusing on acceptance and change. Includes mindfulness, distress tolerance, emotion regulation, interpersonal effectiveness.","High (70% for BPD)",6-12 months,Advanced,"DBT-trained therapist, skills groups, phone coaching"
TH004,Interpersonal Psychotherapy,Psychotherapy,Depression,"Focuses on improving relationships and social functioning. Addresses grief, role disputes, transitions, and interpersonal deficits.",High (60-70% effective),12-16 sessions,Intermediate,"Trained therapist, relationship exploration"
TH005,Acceptance and Commitment Therapy,Psychotherapy,Modern,"Emphasizes accepting thoughts/feelings while pursuing meaningful life values. Combines mindfulness with behavioral change.",High (especially for chronic pain),8-12 weeks,Intermediate,"Therapist, workbooks, mindfulness practice"
TH006,Mindfulness-Based Stress Reduction,Behavioral,Stress Management,"Training in mindfulness meditation to reduce stress and improve well-being. Combines meditation with yoga.",High (stress reduction),8-week program,Beginner,"MBSR instructor, meditation cushion, quiet space"
TH007,Breathing Exercises,Self-Help,Anxiety,"Controlled breathing techniques (4-7-8, box breathing) to calm nervous system. Can be done anytime, anywhere.",Moderate-High (immediate relief),5-15 minutes,Beginner,"None - learn the technique"
TH008,Progressive Muscle Relaxation,Self-Help,Stress,"Sequential tensing and relaxing of muscle groups to reduce physical tension and anxiety.",Moderate (muscle tension relief),15-20 minutes,Beginner,"Quiet space, mat optional"
TH009,Exercise and Physical Activity,Behavioral,Depression/Anxiety,"Regular exercise (150 min/week) promotes endorphin release and improves mood. Also improves sleep and self-esteem.",High (as effective as medication for mild depression),30 min sessions,Beginner,"Comfortable clothes, exercise space"
TH010,Sleep Hygiene,Behavioral,General,"Establishing consistent sleep schedule, limiting screen time, creating dark/cool bedroom. Crucial for mental health.",High (prevents many psychiatric symptoms),Ongoing practice,Beginner,"Bedroom adjustments, consistency"
TH011,Journaling and Expressive Writing,Self-Help,Emotional Processing,"Writing about feelings and experiences to process emotions and identify patterns. Improves emotional regulation.",Moderate (effective for emotional clarity),15-30 minutes daily,Beginner,"Pen and notebook"
TH012,Gratitude Practice,Self-Help,Mood Enhancement,"Regularly acknowledging positive aspects of life. Shifts focus from negative to positive. Can include gratitude journaling.",Moderate (improves overall mood and satisfaction),5-10 minutes daily,Beginner,"Journal or mental practice"
TH013,Social Support and Connection,Behavioral,Prevention,"Maintaining strong relationships, joining groups, volunteering. One of strongest protective factors for mental health.",High (protective factor),Ongoing,Varies,"Friends, family, community groups"
TH014,Nutrition and Diet,Behavioral,General,"Balanced diet with omega-3s, vitamins, minerals. Avoids excessive sugar/caffeine. Food directly affects brain chemistry.",Moderate-High,Ongoing practice,Beginner,"Healthy food options"
TH015,Eye Movement Desensitization and Reprocessing,Psychotherapy,Trauma,"Uses bilateral stimulation (eye movements) while recalling trauma to process and integrate traumatic memories.",High (specially for PTSD),8-12 sessions,Advanced,"Trained EMDR therapist"
TH016,Psychoeducation,Therapy,General,"Learning about mental health condition, symptoms, treatment options. Reduces depression and increases treatment compliance.",High (foundation for all treatment),Variable,Beginner,"Educational materials, therapist"
TH017,Assertiveness Training,Skills Training,Communication,"Learning to express needs clearly and respectfully. Improves relationships and self-esteem.",Moderate-High,6-8 weeks,Intermediate,"Skills coach or therapist"
TH018,Time Management and Goal Setting,Behavioral,Productivity,"Breaking large goals into manageable steps. Increases sense of accomplishment and reduces overwhelm.",Moderate-High,Ongoing,Beginner,"Planner, goal-setting template"
TH019,Problem-Solving Therapy,Cognitive,General,"Structured approach to identifying problems and generating solutions. Reduces sense of helplessness.",Moderate-High,6-8 sessions,Intermediate,"Therapist or workbook"
TH020,Laughter and Humor Therapy,Behavioral,Mood,"Engaging in activities that produce laughter. Reduces stress hormones and promotes well-being.",Moderate (immediate relief),Variable,Beginner,"Comedy, friends, activities"
